MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
303295000,2018-01-01T20:49:09Z,53.84144,-166.58354,0,324.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
366997610,2018-01-01T10:40:27Z,29.96353,-93.86147,0,228.1,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
351106000,2018-01-01T03:41:45Z,29.08465,-94.66798,0,145,41,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
368016260,2018-01-01T10:39:42Z,29.73998,-95.15957,0,360,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T20:46:48Z,53.84145,-166.58356,0,330.5,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
351106000,2018-01-01T03:44:44Z,29.08468,-94.66802,0,220,43,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
367500750,2018-01-01T13:55:15Z,40.70002,-74.15256,0,297.1,62,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
368015160,2018-01-01T10:39:17Z,29.14601,-90.2097,0.2,0,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T20:45:40Z,53.84141,-166.58358,0.1,337.1,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
316034846,2018-01-01T10:39:12Z,43.2997,-79.73614,0,169.3,226,NA,NA,NA,NA,1,NA,NA,NA,NA,A
367500750,2018-01-01T13:54:06Z,40.70003,-74.15256,0,327.7,61,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
351106000,2018-01-01T03:47:43Z,29.08472,-94.66803,0.1,138,43,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
316011730,2018-01-01T10:40:10Z,49.12829,-122.30152,0,218.2,15,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T20:44:29Z,53.84137,-166.58363,0.1,328.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
366972890,2018-01-01T10:40:16Z,29.78129,-95.09936,0,247.2,91,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T20:43:28Z,53.84138,-166.58363,0.1,338,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
319054800,2018-01-01T10:40:39Z,26.1118,-80.1073,0,0,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
351106000,2018-01-01T03:50:44Z,29.08472,-94.66805,0.1,130,46,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
303295000,2018-01-01T20:42:19Z,53.84137,-166.58359,0,339.3,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
247376300,2018-01-01T10:40:42Z,37.05492,-74.80911,14.6,185.9,186,NA,NA,NA,NA,0,NA,NA,NA,NA,A
351106000,2018-01-01T03:53:44Z,29.08462,-94.66797,0.3,147,43,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
303295000,2018-01-01T20:41:08Z,53.8414,-166.58356,0,341.2,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367114690,2018-01-01T10:39:58Z,48.51092,-122.60705,0,360,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
351106000,2018-01-01T03:56:44Z,29.08455,-94.66792,0,148,39,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
367500750,2018-01-01T13:52:26Z,40.70003,-74.15256,0,305.7,62,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
367500750,2018-01-01T13:50:36Z,40.70002,-74.15256,0,334.7,62,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
352466000,2018-01-01T10:40:01Z,47.93608,-122.53438,17.9,123.6,122,NA,NA,NA,NA,0,NA,NA,NA,NA,A
